Year,Sex,Age,Estimate
1997,Female,5,32115
1998,Both,5,63015
1998,Male,5,32147
1998,Female,5,30868
1999,Both,5,61399
1999,Male,5,31355
1999,Female,5,30044
2000,Both,5,59175
2000,Male,5,30367
2000,Female,5,28808
2001,Both,5,58088
2001,Male,5,29752
2001,Female,5,28336
2002,Both,5,58892
2002,Male,5,30386
2002,Female,5,28506
2003,Both,5,57176
2003,Male,5,29275
2003,Female,5,27901
2004,Both,5,56304
2004,Male,5,28870
2004,Female,5,27434
2005,Both,5,54316
2005,Male,5,28042
2005,Female,5,26274
2006,Both,5,53384
2006,Male,5,27062
2006,Female,5,26322
2007,Both,5,52188
2007,Male,5,26605
2007,Female,5,25583
2008,Both,5,52680
2008,Male,5,26868
2008,Female,5,25812
2009,Both,5,54394
2009,Male,5,28036
2009,Female,5,26358
2010,Both,5,55429
2010,Male,5,28514
2010,Female,5,26915
2011,Both,5,55769
2011,Male,5,28397
2011,Female,5,27372
2012,Both,5,57021
2012,Male,5,29189
2012,Female,5,27832
2013,Both,5,59490
2013,Male,5,30269
2013,Female,5,29221
2014,Both,5,59796
2014,Male,5,30397
2014,Female,5,29399
2015,Both,5,58497
2015,Male,5,29801
2015,Female,5,28696
2016,Both,5,61695
2016,Male,5,31533
2016,Female,5,30162
2017,Both,5,60001
2017,Male,5,30863
2017,Female,5,29138
2018,Both,5,58712
2018,Male,5,30015
2018,Female,5,28697
1981,Both,6,65573
1981,Male,6,33496
1981,Female,6,32077
1982,Both,6,64300
1982,Male,6,33124
1982,Female,6,31176
1983,Both,6,58774
1983,Male,6,30262
1983,Female,6,28512
1984,Both,6,59244
1984,Male,6,30185
1984,Female,6,29059
1985,Both,6,63454
1985,Male,6,32727
1985,Female,6,30727
1986,Both,6,65444
1986,Male,6,33443
1986,Female,6,32001
1987,Both,6,66617
1987,Male,6,34275
1987,Female,6,32342
1988,Both,6,64548
1988,Male,6,32915
1988,Female,6,31633
1989,Both,6,63368
1989,Male,6,32376
1989,Female,6,30992
1990,Both,6,62159
1990,Male,6,31822
1990,Female,6,30337
1991,Both,6,64218
1991,Male,6,32643
1991,Female,6,31575
1992,Both,6,65604
1992,Male,6,33544
1992,Female,6,32060
1993,Both,6,65015
1993,Male,6,33170
1993,Female,6,31845
1994,Both,6,66223
1994,Male,6,34107
1994,Female,6,32116
1995,Both,6,63781
1995,Male,6,32626
1995,Female,6,31155
1996,Both,6,63344
1996,Male,6,32381
1996,Female,6,30963
1997,Both,6,65395
1997,Male,6,33454
1997,Female,6,31941
1998,Both,6,65500
1998,Male,6,33414
1998,Female,6,32086
1999,Both,6,62912
1999,Male,6,32100
1999,Female,6,30812
2000,Both,6,61130
2000,Male,6,31205
2000,Female,6,29925
2001,Both,6,59103
2001,Male,6,30334
2001,Female,6,28769
2002,Both,6,58286
2002,Male,6,29912
2002,Female,6,28374
2003,Both,6,59081
2003,Male,6,30441
2003,Female,6,28640
2004,Both,6,57571
2004,Male,6,29466
2004,Female,6,28105
2005,Both,6,56657
2005,Male,6,29073
2005,Female,6,27584
2006,Both,6,54645
2006,Male,6,28242
2006,Female,6,26403
2007,Both,6,53812
2007,Male,6,27293
2007,Female,6,26519
2008,Both,6,52406
2008,Male,6,26709
2008,Female,6,25697
2009,Both,6,52713
2009,Male,6,26882
2009,Female,6,25831
2010,Both,6,54400
2010,Male,6,28018
2010,Female,6,26382
2011,Both,6,55429
2011,Male,6,28517
2011,Female,6,26912
2012,Both,6,55870
2012,Male,6,28467
2012,Female,6,27403
2013,Both,6,57136
2013,Male,6,29219
2013,Female,6,27917
2014,Both,6,59709
2014,Male,6,30374
2014,Female,6,29335
2015,Both,6,60030
2015,Male,6,30513
2015,Female,6,29517
2016,Both,6,58801
2016,Male,6,29946
2016,Female,6,28855
2017,Both,6,61895
2017,Male,6,31675
2017,Female,6,30220
2018,Both,6,60252
2018,Male,6,31003
2018,Female,6,29249
1981,Both,7,67271
1981,Male,7,34533
1981,Female,7,32738
1982,Both,7,65387
1982,Male,7,33369
1982,Female,7,32018
1983,Both,7,64236
1983,Male,7,33050
1983,Female,7,31186
1984,Both,7,58710
1984,Male,7,30209
1984,Female,7,28501
1985,Both,7,59144
1985,Male,7,30144
1985,Female,7,29000
1986,Both,7,63277
1986,Male,7,32608
1986,Female,7,30669
1987,Both,7,65203
1987,Male,7,33282
1987,Female,7,31921
1988,Both,7,66336
1988,Male,7,34136
1988,Female,7,32200
1989,Both,7,64720
1989,Male,7,32964
1989,Female,7,31756
1990,Both,7,63533
1990,Male,7,32460
1990,Female,7,31073
1991,Both,7,62144
1991,Male,7,31830
1991,Female,7,30314
1992,Both,7,64262
1992,Male,7,32646
1992,Female,7,31616
1993,Both,7,65644
1993,Male,7,33582
1993,Female,7,32062
1994,Both,7,65177
1994,Male,7,33263
1994,Female,7,31914
1995,Both,7,66124
1995,Male,7,34064
1995,Female,7,32060
1996,Both,7,63645
1996,Male,7,32600
1996,Female,7,31045
1997,Both,7,63407
1997,Male,7,32455
1997,Female,7,30952
1998,Both,7,65311
1998,Male,7,33414
1998,Female,7,31897
1999,Both,7,65368
1999,Male,7,33337
1999,Female,7,32031
2000,Both,7,62657
2000,Male,7,31978
2000,Female,7,30679
2001,Both,7,61005
2001,Male,7,31134
2001,Female,7,29871
2002,Both,7,59287
2002,Male,7,30445
2002,Female,7,28842
2003,Both,7,58582
2003,Male,7,30062
2003,Female,7,28520
2004,Both,7,59412
2004,Male,7,30545
2004,Female,7,28867
2005,Both,7,57974
2005,Male,7,29677
2005,Female,7,28297
